,0,1,2,3,4,5,6,7,8
0,0.0,0.0,1.0,3.0,1.0,22.0,1.0,0.0,7.25
1,1.0,0.0,0.0,1.0,0.0,38.0,1.0,0.0,71.2833
2,0.0,0.0,1.0,3.0,0.0,26.0,0.0,0.0,7.925
3,0.0,0.0,1.0,1.0,0.0,35.0,1.0,0.0,53.1
4,0.0,0.0,1.0,3.0,1.0,35.0,0.0,0.0,8.05
5,0.0,1.0,0.0,3.0,1.0,24.0,0.0,0.0,8.4583
6,0.0,0.0,1.0,1.0,1.0,54.0,0.0,0.0,51.8625
7,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,21.075
8,0.0,0.0,1.0,3.0,0.0,27.0,0.0,2.0,11.1333
9,1.0,0.0,0.0,2.0,0.0,14.0,1.0,0.0,30.0708
10,0.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,16.7
11,0.0,0.0,1.0,1.0,0.0,58.0,0.0,0.0,26.55
12,0.0,0.0,1.0,3.0,1.0,20.0,0.0,0.0,8.05
13,0.0,0.0,1.0,3.0,1.0,39.0,1.0,5.0,31.275
14,0.0,0.0,1.0,3.0,0.0,14.0,0.0,0.0,7.8542
15,0.0,0.0,1.0,2.0,0.0,55.0,0.0,0.0,16.0
16,0.0,1.0,0.0,3.0,1.0,2.0,4.0,1.0,29.125
17,0.0,0.0,1.0,2.0,1.0,24.0,0.0,0.0,13.0
18,0.0,0.0,1.0,3.0,0.0,31.0,1.0,0.0,18.0
19,1.0,0.0,0.0,3.0,0.0,24.0,0.0,0.0,7.225
20,0.0,0.0,1.0,2.0,1.0,35.0,0.0,0.0,26.0
21,0.0,0.0,1.0,2.0,1.0,34.0,0.0,0.0,13.0
22,0.0,1.0,0.0,3.0,0.0,15.0,0.0,0.0,8.0292
23,0.0,0.0,1.0,1.0,1.0,28.0,0.0,0.0,35.5
24,0.0,0.0,1.0,3.0,0.0,8.0,3.0,1.0,21.075
25,0.0,0.0,1.0,3.0,0.0,38.0,1.0,5.0,31.3875
26,1.0,0.0,0.0,3.0,1.0,24.0,0.0,0.0,7.225
27,0.0,0.0,1.0,1.0,1.0,19.0,3.0,2.0,263.0
28,0.0,1.0,0.0,3.0,0.0,24.0,0.0,0.0,7.8792
29,0.0,0.0,1.0,3.0,1.0,24.0,0.0,0.0,7.8958
30,1.0,0.0,0.0,1.0,1.0,40.0,0.0,0.0,27.7208
31,1.0,0.0,0.0,1.0,0.0,24.0,1.0,0.0,146.5208
32,0.0,1.0,0.0,3.0,0.0,24.0,0.0,0.0,7.75
33,0.0,0.0,1.0,2.0,1.0,66.0,0.0,0.0,10.5
34,1.0,0.0,0.0,1.0,1.0,28.0,1.0,0.0,82.1708
35,0.0,0.0,1.0,1.0,1.0,42.0,1.0,0.0,52.0
36,1.0,0.0,0.0,3.0,1.0,24.0,0.0,0.0,7.2292
37,0.0,0.0,1.0,3.0,1.0,21.0,0.0,0.0,8.05
38,0.0,0.0,1.0,3.0,0.0,18.0,2.0,0.0,18.0
39,1.0,0.0,0.0,3.0,0.0,14.0,1.0,0.0,11.2417
40,0.0,0.0,1.0,3.0,0.0,40.0,1.0,0.0,9.475
41,0.0,0.0,1.0,2.0,0.0,27.0,1.0,0.0,21.0
42,1.0,0.0,0.0,3.0,1.0,24.0,0.0,0.0,7.8958
43,1.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,41.5792
44,0.0,1.0,0.0,3.0,0.0,19.0,0.0,0.0,7.8792
45,0.0,0.0,1.0,3.0,1.0,24.0,0.0,0.0,8.05
46,0.0,1.0,0.0,3.0,1.0,24.0,1.0,0.0,15.5
47,0.0,1.0,0.0,3.0,0.0,24.0,0.0,0.0,7.75
48,1.0,0.0,0.0,3.0,1.0,24.0,2.0,0.0,21.6792
49,0.0,0.0,1.0,3.0,0.0,18.0,1.0,0.0,17.8
50,0.0,0.0,1.0,3.0,1.0,7.0,4.0,1.0,39.6875
51,0.0,0.0,1.0,3.0,1.0,21.0,0.0,0.0,7.8
52,1.0,0.0,0.0,1.0,0.0,49.0,1.0,0.0,76.7292
53,0.0,0.0,1.0,2.0,0.0,29.0,1.0,0.0,26.0
54,1.0,0.0,0.0,1.0,1.0,65.0,0.0,1.0,61.9792
55,0.0,0.0,1.0,1.0,1.0,24.0,0.0,0.0,35.5
56,0.0,0.0,1.0,2.0,0.0,21.0,0.0,0.0,10.5
57,1.0,0.0,0.0,3.0,1.0,28.5,0.0,0.0,7.2292
58,0.0,0.0,1.0,2.0,0.0,5.0,1.0,2.0,27.75
59,0.0,0.0,1.0,3.0,1.0,11.0,5.0,2.0,46.9
